1737034921475|1|statement|connection 2|url jdbc:h2:mem:515e0448-b937-4674-9a9a-348acb98fd68|drop table if exists address CASCADE |drop table if exists address CASCADE 
1737034921476|0|statement|connection 2|url jdbc:h2:mem:515e0448-b937-4674-9a9a-348acb98fd68|drop table if exists users CASCADE |drop table if exists users CASCADE 
1737034921493|11|statement|connection 3|url jdbc:h2:mem:515e0448-b937-4674-9a9a-348acb98fd68|create table address (address_seq bigint generated by default as identity, created_date timestamp not null, modified_date timestamp, address1 varchar(255) not null, address2 varchar(255), name varchar(255), zipcode integer not null, user_seq bigint not null, primary key (address_seq))|create table address (address_seq bigint generated by default as identity, created_date timestamp not null, modified_date timestamp, address1 varchar(255) not null, address2 varchar(255), name varchar(255), zipcode integer not null, user_seq bigint not null, primary key (address_seq))
1737034921502|1|statement|connection 3|url jdbc:h2:mem:515e0448-b937-4674-9a9a-348acb98fd68|create table users (user_seq bigint generated by default as identity, created_date timestamp not null, modified_date timestamp, age integer not null, id varchar(255) not null, name varchar(255) not null, password varchar(255) not null, phone_number varchar(255), primary key (user_seq))|create table users (user_seq bigint generated by default as identity, created_date timestamp not null, modified_date timestamp, age integer not null, id varchar(255) not null, name varchar(255) not null, password varchar(255) not null, phone_number varchar(255), primary key (user_seq))
1737034921504|1|statement|connection 3|url jdbc:h2:mem:515e0448-b937-4674-9a9a-348acb98fd68|alter table users add constraint UK_6jvqtxgs6xvh0h0t261hurgqo unique (id)|alter table users add constraint UK_6jvqtxgs6xvh0h0t261hurgqo unique (id)
1737034921520|15|statement|connection 3|url jdbc:h2:mem:515e0448-b937-4674-9a9a-348acb98fd68|alter table address add constraint FK9ddn63s0gxtxf8d5g2csjg1lb foreign key (user_seq) references users|alter table address add constraint FK9ddn63s0gxtxf8d5g2csjg1lb foreign key (user_seq) references users
1737034922498|5|statement|connection 4|url jdbc:h2:mem:515e0448-b937-4674-9a9a-348acb98fd68|insert into users (user_seq, created_date, modified_date, age, id, name, password, phone_number) values (default, ?, ?, ?, ?, ?, ?, ?)|insert into users (user_seq, created_date, modified_date, age, id, name, password, phone_number) values (default, '2025-01-16T22:42:02.446+0900', '2025-01-16T22:42:02.446+0900', 30, 'bhkim62', '김병호', 'test1234', NULL)
1737034922519|0|statement|connection 4|url jdbc:h2:mem:515e0448-b937-4674-9a9a-348acb98fd68|insert into address (address_seq, created_date, modified_date, address1, address2, name, user_seq, zipcode) values (default, ?, ?, ?, ?, ?, ?, ?)|insert into address (address_seq, created_date, modified_date, address1, address2, name, user_seq, zipcode) values (default, '2025-01-16T22:42:02.513+0900', '2025-01-16T22:42:02.513+0900', '서울시입니다0', NULL, NULL, 1, 12345)
1737034922528|0|statement|connection 4|url jdbc:h2:mem:515e0448-b937-4674-9a9a-348acb98fd68|insert into address (address_seq, created_date, modified_date, address1, address2, name, user_seq, zipcode) values (default, ?, ?, ?, ?, ?, ?, ?)|insert into address (address_seq, created_date, modified_date, address1, address2, name, user_seq, zipcode) values (default, '2025-01-16T22:42:02.526+0900', '2025-01-16T22:42:02.526+0900', '서울시입니다1', NULL, NULL, 1, 12346)
1737034922530|0|statement|connection 4|url jdbc:h2:mem:515e0448-b937-4674-9a9a-348acb98fd68|insert into address (address_seq, created_date, modified_date, address1, address2, name, user_seq, zipcode) values (default, ?, ?, ?, ?, ?, ?, ?)|insert into address (address_seq, created_date, modified_date, address1, address2, name, user_seq, zipcode) values (default, '2025-01-16T22:42:02.529+0900', '2025-01-16T22:42:02.529+0900', '서울시입니다2', NULL, NULL, 1, 12347)
1737034922532|0|statement|connection 4|url jdbc:h2:mem:515e0448-b937-4674-9a9a-348acb98fd68|insert into address (address_seq, created_date, modified_date, address1, address2, name, user_seq, zipcode) values (default, ?, ?, ?, ?, ?, ?, ?)|insert into address (address_seq, created_date, modified_date, address1, address2, name, user_seq, zipcode) values (default, '2025-01-16T22:42:02.531+0900', '2025-01-16T22:42:02.531+0900', '서울시입니다3', NULL, NULL, 1, 12348)
1737034922534|0|statement|connection 4|url jdbc:h2:mem:515e0448-b937-4674-9a9a-348acb98fd68|insert into address (address_seq, created_date, modified_date, address1, address2, name, user_seq, zipcode) values (default, ?, ?, ?, ?, ?, ?, ?)|insert into address (address_seq, created_date, modified_date, address1, address2, name, user_seq, zipcode) values (default, '2025-01-16T22:42:02.533+0900', '2025-01-16T22:42:02.533+0900', '서울시입니다4', NULL, NULL, 1, 12349)
1737034922536|0|statement|connection 4|url jdbc:h2:mem:515e0448-b937-4674-9a9a-348acb98fd68|insert into address (address_seq, created_date, modified_date, address1, address2, name, user_seq, zipcode) values (default, ?, ?, ?, ?, ?, ?, ?)|insert into address (address_seq, created_date, modified_date, address1, address2, name, user_seq, zipcode) values (default, '2025-01-16T22:42:02.535+0900', '2025-01-16T22:42:02.535+0900', '서울시입니다5', NULL, NULL, 1, 12350)
